Judete,2018,2019,2020,2021
Alba,26442,25894,25251,26072
Arad,33843,33228,32323,32821
Arges,48013,47326,46192,46533
Bacau,53507,51988,50089,51037
Bihor,49652,48851,47782,48625
Bistrita-Nasaud,25927,25611,25272,26086
Botosani,37084,35536,34271,34614
Brasov,48459,48728,48448,49859
Braila,24218,23299,22325,21878
Buzau,35844,34514,33593,32464
Caras-Severin,19408,18600,17583,17804
Calarasi,25524,24564,24103,24097
Cluj,51718,52304,52902,54331
Constanta,60439,59722,59197,60134
Covasna,19248,18942,18596,18645
Dambovita,39596,38508,37375,37453
Dolj,48152,47360,46430,46782
Galati,42701,41194,39771,39406
Giurgiu,21893,21370,21157,22243
Gorj,26237,25061,23986,23952
Harghita,28366,28041,27674,27771
Hunedoara,28493,27393,26274,26359
Ialomita,21738,21288,20481,20235
Iasi,74059,72720,71716,71735
Ilfov,33098,33316,33844,35658
Maramures,37151,36064,34995,35721
Mehedinti,18359,17535,16858,16815
Mures,48124,47316,46376,46757
Neamt,38925,37940,37176,37642
Olt,30623,29432,28255,28508
Prahova,59591,57832,56046,55911
Satu Mare,28878,28112,27793,28140
Salaj,19750,19471,19277,19615
Sibiu,35532,35226,35001,35670
Suceava,62240,61164,60746,62765
Teleorman,23645,22783,21909,22096
Timis,51575,51500,51286,52983
Tulcea,17208,16662,16117,16117
Vaslui,36642,35211,33503,32975
Valcea,26866,26196,25155,25503
Vrancea,27772,27235,26747,27019
Municipiul Bucuresti,150516,150959,149220,129557
