Judete,CodJudet
Alba,AB
Arad,AR
Arges,AG
Bacau,BC
Bihor,BH
Bistrita-Nasaud,BN
Botosani,BT
Brasov,BV
Braila,BR
Buzau,BZ
Caras-Severin,CS
Calarasi,CL
Cluj,CJ
Constanta,CT
Covasna,CV
Dambovita,DB
Dolj,DJ
Galati,GL
Giurgiu,GR
Gorj,GJ
Harghita,HR
Hunedoara,HD
Ialomita,IL
Iasi,IS
Ilfov,IF
Maramures,MM
Mehedinti,MH
Mures,MS
Neamt,NT
Olt,OT
Prahova,PH
Satu Mare,SM
Salaj,SJ
Sibiu,SB
Suceava,SV
Teleorman,TR
Timis,TM
Tulcea,TL
Vaslui,VS
Valcea,VL
Vrancea,VN
Municipiul Bucuresti,B
