CodJudet,2018,2019,2020,2021
AB,0.25508638902555497,0.24979982442431434,0.24359679333198275,0.25151699321814797
AG,0.25530138676195335,0.25164837502126935,0.24561851284669048,0.24743172537008679
AR,0.2559694437091102,0.25131792913058276,0.24447301743372538,0.2482396097265817
B,0.259397641024934,0.2601611024175703,0.2571641286889145,0.22327712786858123
BC,0.25896206097153723,0.2516104364996782,0.24241969596507615,0.24700780656370844
BH,0.25474321481709505,0.2506336257759992,0.24514904314811964,0.2494741162587861
BN,0.25197286580625095,0.24890180376302287,0.24560721505209143,0.2535181153786347
BR,0.2640427387701701,0.25402311382468384,0.24340383776711733,0.2385303096380288
BT,0.26206847814564854,0.2511289353733084,0.2421893219320872,0.24461326454895588
BV,0.24787973032420432,0.24925573163370743,0.2478234626126633,0.25504107542942495
BZ,0.2627570281860499,0.25300736722501194,0.24625591027379687,0.2379796943151413
CJ,0.2448131405173842,0.24758703936001514,0.250417741591915,0.25718207853068564
CL,0.2596858212599707,0.24991860654403386,0.245228308643985,0.2451672635520104
CS,0.2644321820287486,0.2534232577151032,0.23956672797874515,0.2425778322774031
CT,0.2523633357272894,0.24936949877240158,0.247177358742672,0.251089806757637
CV,0.25517360236507536,0.2511169147963039,0.2465299412708303,0.24717954156779043
DB,0.25891245782439254,0.25179818481416577,0.24438966337980278,0.2448996939816389
DJ,0.25514507958712196,0.25094847502172485,0.24602064390326614,0.24788580148788708
GJ,0.2643899391349913,0.252539401023822,0.24170663871981943,0.24136402112136723
GL,0.261853659733124,0.2526123430141287,0.24388613618524332,0.24164786106750394
GR,0.2526222263249599,0.24658735561889156,0.24412955932751002,0.25666085872863853
HD,0.2625623162764124,0.2524258424791972,0.2421142841345755,0.24289755710981487
HR,0.2536029753602975,0.250697350069735,0.2474162285877767,0.24828344598219076
IF,0.24351805526943113,0.24512198710968539,0.24900673945672328,0.26235321816416024
IL,0.2595830049437558,0.2542093573117432,0.24457261589166726,0.2416350218528337
IS,0.25517348309961063,0.25055990076835616,0.2471005754057127,0.2471660407263205
MH,0.2639038624635244,0.2520591659838717,0.24232754035677836,0.2417094311958256
MM,0.25811673649179123,0.2505645066038588,0.24313733664047357,0.24818142026387643
MS,0.2552009036288334,0.25091609085075806,0.24593128390596744,0.2479517216144411
NT,0.2566207155712901,0.25012690940975585,0.24509008919918515,0.24816228581976885
OT,0.26214282045575166,0.2519474738482083,0.2418719717851701,0.24403773391086991
PH,0.25979161217194174,0.2521231144825181,0.24433690818728748,0.24374836515825268
SB,0.2512356023163566,0.2490719725091742,0.24748106823918714,0.252211356935282
SJ,0.25283883604521656,0.24926708742462841,0.24678350594651338,0.25111057058364167
SM,0.25573178183363887,0.2489483984662115,0.24612346466176066,0.249196355038389
SV,0.2520705505943341,0.24771277565154,0.24601988538565903,0.2541967883684669
TL,0.2603170761224737,0.25205736415345514,0.2438127798620356,0.2438127798620356
TM,0.24874122231653678,0.24837950459140365,0.24734740334902383,0.2555318697430357
TR,0.2614642884787633,0.2519323698207513,0.24226775623942587,0.24433558546105957
VL,0.25902429618202855,0.25256459699190126,0.24252795989201698,0.24588314693405322
VN,0.2553207137800741,0.2503838268688002,0.24589741939635756,0.2483980399547682
VS,0.2648863956741439,0.25454164287108455,0.24219444665331705,0.23837751480145447
