CodJudet,Simpson
AB,0.7499307862523623
AG,0.7499433846939402
AR,0.7499289822944079
B,0.7490429997060026
BC,0.7498506737266009
BH,0.7499532920954868
BN,0.7499632280701196
BR,0.7496115528897844
BT,0.7497630537294708
BV,0.7499648007646171
BZ,0.7496697080175989
CJ,0.7499155173495989
CL,0.7498600538616524
CS,0.7496160516897332
CT,0.7499848621300056
CV,0.7499519900465542
DB,0.7498598456284297
DJ,0.749952323440882
GJ,0.7496431211216157
GL,0.7497455288594148
GR,0.7499026486747367
HD,0.749723674288319
HR,0.7499769098390267
IF,0.7497806008172336
IL,0.7497910179696081
IS,0.7499564835956049
MH,0.7496748422759727
MM,0.7498833965403742
MS,0.7499513614839981
NT,0.7499286656018456
OT,0.7497471457974113
PH,0.7498284631688946
SB,0.7499863769351812
SJ,0.7499798246480478
SM,0.7499503674397727
SV,0.7499570270800631
TL,0.7498127618069519
TM,0.7499581516215277
TR,0.7497729628509096
VL,0.7498392050581462
VN,0.7499521452382094
VS,0.749561759878626
